Feed,Sentiment
 شباب +نا زي  ال+ ورده  بس  بد +هم حدا  يدعم +هم,Positive
 شباب +نا في +هم ال+ خير  بس  بد +هم حدا  يرشد +هم,Positive
 شخصي +ه تافه,Negative
 شردو  اطفلها  و+ قتلوا  رجال +ها,Negative
 شعب  سخيف,Negative
 شعب  لا  يحرك +ه هذا  ال+ ظلم  ال+ تعدي  علي  كرامه +ه هو  شعب  لا  يستحق  ال+ حياه,Negative
 شعوب  تافه +ه هم +ها ال+ حياه  ال+ دنيا  ف+ كروا  في  نهايه +كم,Negative
 شعور  ال+ انفصام  تاع  سن +ه خامس +ه كثير  ب+ خزي  !  ال+ لي  هو  ان +ك عملت  كل  شي  ممكن  ينعمل  ب+ ال+ جامعه  ف+ زهقت  و+ بد +ك تتخرج  بس  ب+ نفس  ال+ وقت  مش  هاين  علي +ك تترك  ال+ جامعه,Negative
 شغل  مشغول  قرف  يع,Negative
 شفت +ها اقول  و+ شذا  الكيك,Negative
 شكرا  دكتور  ف+ كلمات +ك ل +ها بالغ  ال+ اثر  في  نفوس +نا,Positive
" شكرا  ل+ جميل  اثراء +ك ال+ معرفي  ,  كلام +ك و+ سلاسه +ك في  ايصال  ال+ معلومه  جميل +ه ل+ ال+ غايه",Positive
 شكرا  ل +ك,Positive
 شكرا  ل+ ال+ نجمه  ال+ راقيه  كنز +ه اخبار  ال+ نجوم,Positive
 شكل +ك احول  موب  حول +ه,Negative
 شكل +ك دايما  متاخره  عن  ال+ مدرسه,Negative
 شكلو  عمرو  ماشاف  كاميرا  تصورو,Negative
 شنو  ال+ سالفه  يعني  اتقارنون  ال+ قران  ال+ كريم  ويه  نجوه  كرم  هاي  ال+ عرمه  لا  الله  الا  الله,Negative
 شو  الاشي  الي  بيضحك  ما  ازنخك,Negative
 شو  الي  جن +ني و  نزلت  ماد +ه اثار  ال+ اردن,Negative
 شو  ب+ الا +لا يا  دانيا  ال+ مشكله  مش  عارف +ه تكتب  هعهعه,Negative
 شو  عاجبك  في +ها مثلا  ?  ل+ تكون  سياره +كم,Negative
 شو  عادي  يزم  انتا  ما  عند +ك دم  و+ نخو +ه يزم  انتا  مش  بني  ادم  تري  ورح  طير,Negative
 شو  نوع  ال+ حشيش  ?  ?,Negative
 شو  هاد  ال+ برنامج  معقول  عرضوا +ه علي  ال+ قنوات,Negative
 شو  هاض  ال+ منشور  ال+ وسخ,Negative
 شو  هالافكار  ال+ جهنميه,Negative
 شو  هالغباء  فضحت +نا,Negative
 شو  هالمنشور  ال+ وسخ,Negative
 شو  هل  ال+ اهبل,Negative
 شو  هيدا  دلع  اخر  زمن,Negative
 شو  يعني  بد +ك ايا +نا نحكي  من  وراكي  مش  حلوا +ه,Negative
 شوف  شكل +ك ب+ ال+ اول  بعدين  احكي,Negative
 شي  مءكد  ان +ك حمار,Negative
 شيء  مءسف  الله  يهدي +ه,Negative
 صادق +ه و+ فنانه  من  ال+ زمن  ال+ جميل  و+ ال+ فن  اخلاق  و+ احساس +ها يدرس,Positive
 صار  بد +ها بطاريه  ال+ تقوي  شحن,Positive
 صار  عناد  و+ كر +ه قل +ه ادب  بس  ظلموها,Negative
 صباح  ال+ ابتسامه  مرسوم +ه علي  محيا +ك رب +ي اجعل  حياه +ي حياه  احبه +ي نور  علي  نور,Positive
 صباح  ال+ اماني  ال+ جميله  ال+ محققه  ب+ اذن  الله,Positive
 صباح  ال+ اماني  ال+ محققه  ب+ اذن  الله,Positive
 صباح  ال+ امتحانات,Negative
 صباح  ال+ تفكر,Positive
 صباح  ال+ حب  من  الله  علي +نا جميعا,Positive
 صباح  ال+ حريه  و+ ال+ نصر,Positive
 صباح  ال+ خير  ال+ اشراق  ال+ امل,Positive
 صباح  ال+ خير  ل +ك ياشيخ  ل +كم كلمات +ك داءما  تشعر +ني ب+ ال+ امان  و+ ال+ سكينه  و+ ال+ رضي  ب+ ما  كتب  الله,Positive
 صباح  ال+ خير  و+ ال+ سعاده  ل +كم,Positive
 صباح  ال+ خير  و+ ال+ فل,Positive
 صباح  ال+ خيرات  و+ ال+ عبادات,Positive
 صباح  ال+ درب  ل+ لجن +ه,Positive
 صباح  ال+ درب  ل+ لجن +ه و  بلبل  شادي  ب+ فن +ه و  ريح +ه الياس  و  ال+ حنه,Positive
 صباح  ال+ درب  ل+ لجن +ه و+ بلبل  شادي  ب+ فن +ه و+ ريح +ه الياس  و+ ال+ حنه  اقول +ها ل+ كل  احباب +ي اللهم  اجعلنا  من +من يتمتعون  ب+ روح  و+ ريحان  و+ جن +ه ال+ نعيم  من  ال+ رحمن,Positive
 صباح  ال+ رحمه  و  ال+ بركات  ان  شاء  الله,Positive
 صباح  ال+ زنبق  و+ ال+ فل  و+ ال+ ياسمين,Positive
 صباح  ال+ سعاده  ال+ عامره,Positive
 صباح  ال+ عسل,Positive
 صباح  ال+ عفو  و+ ال+ تسامح  صباح  ال+ خير  ل+ وجه  ال+ خير,Positive
 صباح  ال+ فل  ال+ ورد  يا  شيخ  سلمان  عطر  الله  صباح +ك ب+ ذكر +ه شكر +ه حسن  عباده +ه,Positive
 صباح  ال+ قشطه,Positive
 صباح  ال+ نور  ال+ سرور  ال+ ورد  ال+ منثور,Positive
 صباح  ال+ همه  ال+ نشاط  شيخ +نا ال+ فاضل,Positive
 صباح  ال+ وجه  ال+ صبوح,Positive
 صباح  ال+ ورد  الجوري  ال+ حمر  و+ ال+ خمري,Positive
 صباح  ال+ ورد  ل+ وجه  طيب +ه,Positive
 صباح  ال+ ورد  و+ ال+ فل,Positive
 صباح  ال+ وفاء  ل +ك يا  صديق +ي,Positive
 صباح  كل  جميل  في  هذا  ال+ كون,Positive
 صباح  @@ملءه@@ +ه ال+ حب  ال+ عرفان,Positive
 صباح  @@ملءه@@ +ه ال+ خيرات  ال+ مسرات,Positive
 صباح  مملوء  ب+ ال+ خير  ل+ جميع  ال+ مسلمين  يا  رب,Positive
 صباحات  ال+ انوار,Positive
 صباحات  ال+ عقول  ال+ يقظه  ال+ همم  ال+ حييه  ال+ متوثبه,Positive
 صباحات  ال+ نقاء  ال+ ابتسامات  ال+ صافيه  من  ال+ قلب,Positive
 صباح +ك جمال  روع +ه,Positive
 صباح +ك خير  يا  دكتور  سلمان,Positive
 صباح +ك سعيد,Positive
 صباح +ك طيب  ك+ طيب  ال+ مسك  ال+ عنبر,Positive
 صباح +ك مبروك  عدو +ك مهلوا +ك,Positive
 صباح +ك نور,Positive
 صباح +ك و+ رد  ياسمين  معطرين  ب+ نسمات  من  ال+ جنه  يا  شيخ +نا ال+ جليل  حفظ +ك الله  من  كل  سوء  نحب +ك في  الله,Positive
 صباح +كم امل  مشرق  عطا  متجدد  كما  شروق  ال+ شمس,Positive
 صباح +كم تفاءل,Positive
 صباح +كم سعاده  و+ عباد +ه مقبول +ه ان  شاء  الله,Positive
 صباح +كم ضحك +ه قلب  يملا +ه ال+ رضي  اضحك  ياحبيب  ال+ ملايين,Positive
 صباح +كم نقاء  يشبه  سيره +ك,Positive
" صباح +كم هلا  و  شوق  و  غلا  ,  ,  صباح +كم نور  و  فرح  و  سرور  ,  ,  صباح +كم ذوق  و  قدر +كم فوق  ,  ;  صباح +كم حب  و+ سعاده",Positive
 صبح  يحكي  ل+ ال+ تلفزيون  ال+ اردني  ال+ عقار  في  ال+ اردن  رخيص  !  و+ جميل  .  .  .  رخيص  يعني  بنقدر  نملك  شق +ه ب  10000,Negative
 صبح +ك الله  ب+ ال+ خير,Positive
 صبح +كم الله  ياهل  ال+ طيب  ب+ ال+ خير  يسعد  ضحي +كم ال+ ظهر  ال+ عشيه,Positive
 صح  ال+ ابتسامه  تصنع  ال+ سعاده,Positive
 صح  الصح  كمان,Positive
 صح  علشان  كد +ه منكذبش  و+ نرتاح,Positive
 صح  كلام +ك احلي  حكم +ه محد  يبقي  ل+ ال+ نهايه  رغم  اتفاق  ال+ طرفين,Positive
 صح  لسان +ك,Positive
 صح  يا  اخ +ي صدقت  الله  يعين  ال+ جميع,Positive
 صحح  ال+ خبر  مش  تحرير  ال+ مشتقات  ال+ نفطيه  انما +ما توليعها,Negative
 صحيح  ال+ ابتسامه  ل +ها تعابير  كثير +ه,Positive
 صحيح  ان +ك سافل,Negative
 صحيح  كل  هالشغله  بس  قرار  و+ ب+ ظن  كل +نا قادرين  ناخده  اذا  استعنا  و+ توكل +نا الله,Positive
 صدقت  الله  يا  شيخ,Positive
 صدقت  و+ الله  انت  تريد  و+ انا  اريد  و+ الله  يفعل  ما  يريد,Positive
 صدقت  يا  استاذ  عمر,Positive
 صدقت  يا  رب  اجعلنا  راضين  ب+ قدر +ك,Positive
 صدقه +ي راءع +ه معبر +ه ال+ كلام,Positive
 صراح +ه ال+ اراده  ال+ قناعه  هيا  ال+ غني  ال+ اكتفاء,Positive
 صراح +ه ب+ خزي  من  دون  مجامله,Negative
 صراع  متصاعد  ل+ ال+ هيمنه  علي  سوق  ال+ المنيوم  ال+ عالميه,Negative
 صرفات  تجعل +ك زوج +ه نكدي +ه ب+ جدار +ه,Negative
 صرماتي  ب+ راس  اهل +ك,Negative
 صلوا  علي  من  ب+ كي  شوقا  ل+ رءيه +نا,Positive
 صوت +ك وحش,Negative
 صوت +ه مر +ه منبح  احس +ه تعبان  عاد  زبدوله  مابقي  الا  يطلع  بعد  شوي,Negative
 صوت +ها بعير  و+ مصدق +ه حال +ها,Negative
 صور  جميل +ه,Positive
" صور +ه مليانه  روح  ,  يعلم  الله  ان +ي سعيد  جدا  في +ها ف+ في +ها شباب  حافظين  ل+ كتاب  الله",Positive
 ضحكت  طفل  ب+ سم +ه امل,Positive
 ضع  امنيات +كم في  سجد +ه انسا +ها و+ تاكد  ان  الله  لن  ينسا +ها ابدا,Positive
 ضيعت  دقايق  من  عمري  ب+ مشاهد +ه ازنخ  اتفه  شخص  ب+ ال+ حياه  الا +لا هو  ال+ لي  ب+ ال+ نص  لا  حتي  ب+ عرف  اسم +ه,Negative
 طالما  ان +ك تتوجه  الي  الله  عز  و+ جل  ب+ استمرار  فلسوف  يفتح  علي +ك اكثر  من +ما تتخيل,Positive
 طبعا  اكيد  و+ الف,Positive
 طبعا  محدش  يقدر  بس  سبحان  الله  في +ه ناس  عايشين  من  غير  مياه,Positive
 طبعا  واقع,Positive
 طبيب  عيون  اردني  يسجل  اختراعا  جديدا  في  روسيا  .  كل  يوم  انجاز  اردني  يسجل  .  ا  لا  ردن  تكبر  ب+ ابناء +ها,Positive
 طريق  واحد  عدم  اليءس  هو  طريق  ال+ نجاح,Positive
 طلعوا  ال+ عرب  اخس  و+ اخس  و+ اخس,Negative
 طموح  ال+ انسان  يدف +ه ل+ تحقيق  اهداف +ه يا  رت  شبب +نا ما  يقولن  فات  ال+ وقت  الله  يوفق  من  يشاء,Positive
 طول  عمر  ب+ خاف  ان  امثال +ك يصبحوا  مطربين,Negative
 طول  عمر +ك تخاف  من  ال+ حب,Negative
 طيب  الله  انفاس +ك وياسلام  لو  ال+ شباب  او  ال+ شابات  اذا  احبو  يحبون  ك+ جب  شاه  جاهان  و+ ممتاز  محل,Positive
 طيب  انا  عايزه  اشوف  ال+ قصر,Positive
 طيب  لي +ه ال+ سخريه  دي  ماكنا  كويسين,Negative
 ظن +ي ب+ الله  جميل,Positive
 عادي  محنا  اتعودنا  علي  ال+ رفع  من  يوم  يوم +نا نحن  ما  بنعرف  غير  ال+ رفع  هم +ه برفعو  نحنا  بندفع  علي  حساب +نا,Negative
 عالم  فاضيه  بيسمو  ال+ غناء  فن  بيشغلو  ال+ ناس,Negative
 عاهات  ال+ عرب  ال+ جرب,Negative
 عاهات  اللهم  لاشماته,Negative
 عاهات  و+ عهد  الله  عاهات  ايه  ال+ لي  خلي +هم يغنو  دول,Negative
 عاهات +ك يا  وطنعاهاتك  يا  وطن,Negative
 عاهات +ك يا  وطني,Negative
 عاهات +ك ياعرب,Negative
 عجبت +ني ال+ حلقه,Positive
 عجل  يا  الله,Positive
 عد  دراس +ه قمنا  ب +ها تبين  ان  وضع  خلايه  شمسيه  في  صجراء  ال+ اردن  و+ ال+ سعوده  تكفي  ل+ ال+ اناره  ال+ ارض  كامل +ه مدي  ال+ حياه,Positive
 عدول +ه السامج  هذا  خرب  اوم  ال+ مقطع  قسسم  زبال +ه هالادمي  و+ دم +ه زفت  انا  ضحكت,Negative
 عذبت  ام  ال+ عود,Negative
 عرب  اغبياء,Negative
 عرب  جرب,Negative
 عشان  هيك  قال  ال+ نبي  صلي  الله  علي +ه و+ سلم  ان  ال+ كذب  يهدي  الي  ال+ فجور  و+ ال+ فجور  يهدي  الي  ال+ نار,Positive
 عطل +ه 15  يوم  و+ كمان  اسبوع  عطل +ه و  20  دينار  ل+ كل  طالب  هاي  مدرس +ه و+ لا  شهر  عسل,Negative
 عظيم  هو  اسلام +نا,Positive
 عفكره  البيج  هاد  قرف +ني و+ قلب  معده +ي شو  ل+ ال+ اسف  انتا  انو  عرف +ك ان +ه هيك  ال+ وضع  ب+ تفتح  ب+ ال+ فنجان  يا  ناس  خفوا  علي +نا ال+ دين  مش  للايكات  وكمنتات,Negative
 علي  ال+ اقل  هناك  رجل  و+ في  ل+ امراه  احب +ها و+ هذا  يسعد +ني,Positive
 علي  فكر +ه ال+ معلقين  هدول  و+ ل+ اد  حرام,Negative
 عليا  ال+ نعمه  ابدا  لا  هو  و+ لا  ال+ خروف  ال+ تاني,Negative
 علي +ك ب+ تقوي  الله  ان  كنت  غافلا,Positive
 علي +كم ب+ ال+ دعاء  و+ ال+ تضرع  ل+ الله  سبحان +ه و+ تعالي  و+ لا  يرد  ال+ قضاء  اللا  ال+ دعاء  اجتهدوا  رحم +كم الله,Positive
 عمدا  في +هم ما  نستعمل  ال+ تدفءه  نلبس  فرو +ه,Negative
 عمرت +نا كانت  مميز +ه جدا  و+ راءع +ه,Positive
 عمل  ال+ سريره  هو  ال+ عمل  ال+ خالص  ل+ الله  اللهم  ارزقنا  عمل  ال+ سريره,Positive
 عن  جد  انتي  ما  شاء  الله  عليكي  جزاكي  الله  كل  خير,Positive
 عنجد  ال+ كذب  اكبر  ورطه,Positive
 عنجد  انو  بال +ه,Negative
 عنجد  ب+ خزي,Negative
 عنجد  ب+ خزي  شو  هاد  علي  حساب  ازياء  طلع  بال +ه,Negative
 عنجد  هذا  ال+ انسان  تافه  و+ حقير,Negative
 عند +ك حق  انت  امل  جميل  مشرق,Positive
 عندما +ما يقدم  طلاب  علي  حرق  ال+ كتب  ال+ مدرسيه  و+ ال+ اضراب  ف+ نحن  نعيش  انتكاس +ه في  ال+ تعليم  بطل +ها ال+ معلم  ال+ غير  مبالي  الذين  اججوا  و+ افتعلوا  ال+ ازمه,Negative
" ""  عندما +ما يقول  ل +ك احد  :  ابشر +ك ف+ ان +ك مباشر +ه تفرح  و+ تبتسم  ف+ كيف  اذا  كان  ال+ قاءل  هو  الله  سبحان +ه و+ تعالي  حين  يقول  :  ""  ""  و+ بشر  ال+ صابرين  ""  ""  """,Positive
 عن +ي كل  يعلقو  الا  انا,Negative
 عوام  ال+ شيعه  بين  ساذج  و+ مغفل  و+ جاهل  ومتجاهل  و+ لا  يمكن  ل+ عاقل  ان  يظن  ان  عباد +ه الله  تكون  ب+ بان  تقضي  حياه +ك بين  ل+ طم  و+ لعن  و+ تباكي,Negative
 عيب  علي +ك ماتستحي,Negative
 عيب  عليكوا  تقارنوا  وحد +ه زي  دي  ب+ ال+ مصحف  الي  هوا  كلام  رب +نا,Negative
 عيب  و+ الله  اسم  ال+ مقطع,Negative
 عيب  يغني  ده  ال+ سادات  ود +ه ابن  مر +ه,Negative
 عيش  زي  ما  بد +ك ما  ترد  علي  حدا  ابدا,Positive
 عين  ال+ عقل  ربي,Positive
 غباء  في  غباء  لان  نفس  ال+ حركه  صارت  في  يعني  قلدن +ه ال+ برنامج  و+ بعد  ال+ تصرفات  اووف,Negative
 غبي  الله  يزيد  غبا +ك,Negative
 غبي  انتا  اشي  ال+ صوت  هاد  بتشبهو  ب+ جورج  و+ سوف,Negative
 غبي  من  جد +ه,Negative
 غرباء  نحن  حتي  في  احلام +نا نعيش  واقع  ليس  ل +نا في +ه نصيب  .  .  ?  نتمني  اشياء  كثير +ه لكن  ب+ دون  ان  نتحمل  اي  مسءولي +ه .  .  .  .  .  ننظر  الي  انفس +نا فقط,Negative
 غيب  عن  وجهي,Negative
 ف+ اجعل  اللهم  عوضي  في +ه,Positive
 فاشل  فاشل +ه برنامج  فاشل,Negative
 ف+ اشل +ه من  بيءه  فاشل +ه,Negative
 فاشلين  الي  ما  لا  نهايه,Negative
 فاضل  قلمين  نخلص,Negative
 ف+ اظفر  ب+ ذات  ال+ دين  تربت  يدا +ك,Positive
 ف+ اقد  ل+ كل  معاني  ال+ احساس,Negative
 ف+ ال+ اول  يصحح  مساري  ال+ ثاني  يزيد  من  اصرار +ي,Positive
 ف+ انا  اناشد  ال+ حكومه  ال+ اردنيه  ب+ ال+ افراج  عن  اسري  ال+ سلفيين  التوحيدين  ال+ موجودين  في  سجون +هم,Negative
 ف+ اهجر  تجد  عوضا  عن +ما تفارق +ه,Positive
 فتا +ه تحاول  استعراض  جسد +ها,Negative
 فتح +ه نصر +ه نور +ه بركه +ه هدي +ه,Positive
 فدم +ك عود  مع  عنبر,Positive
 ف+ شرت  عين  ال+ شيعه  و+ الله  بنحرقهم  حر,Negative
 ف+ شرت  عين +ك,Negative
 فشلوا +ه مر +ه صدق  ان +هم دلوخ,Negative
 فضحتونا  من  و+ ين  نحنا  بال  48  عن +نا برامج  هيك  تافها  ومخمج,Negative
 فطست  ضحك  علي  الشايب,Negative
 فعلا  احس  في  نفس +ي دلل +ك,Positive
 فعلا  ال+ بت  جد +ه ل+ ما  تحتاج  لي +ه هو  ال+ انسان  ال+ صادق  هو  البستاهل  تضحي  عشان,Positive
 فعلا  ال+ طاقه  ال+ شمسيه  هي  ال+ بديل  ليست  ال+ نوويه  لان  حتي  ال+ دول  ال+ متقدمه  صارت  تتخلص  من  ال+ نووي  تتجه  ل+ ال+ طاقه  ال+ بديله  خصوصا  نحن  ال+ اردن  بلد  مشمس  عالطول  ال+ سنه  ال+ كلفه  ما  اتوقع  اكثر  من  ال+ طاقه  ال+ نوويه,Negative
 فعلا  الله  يبعد +نا عن  ال+ كذب,Positive
 فعلا  الله  يجزي +ك كل  ال+ خير  دكتور  و+ الله  يثبت +نا علي  دين +نا,Positive
 فعلا  ال+ لي  بيستحوا  ماتوا,Negative
 فعلا  ان  ال+ طموح  هو  سر  ال+ نجاح,Positive
 فعلا  برنامج  ساقط  و+ ال+ لي  بيتابعه  اسقط  من +ه,Negative
 فعلا  ده  صحي  ح  مثلا  زي  سماع  ال+ اغاني  التي  تلهي  عن  زكر  الله  لو  تركت +ها ل+ الله  يملا  الله  قلب +ك ب+ حب +ه ولاتشغل  ب+ ال +ك الا +لا ب+ ذكر +ه,Positive
 فعلا  زي  ما  حكي  اخر  شي  مهزله  و+ انا  مهزله  ال+ لي  ضيعت  وقتي  اشوف  هيك  مسخر +ه فعلا  ان +ي مسخر +ه,Negative
 فعلا  فضايح  ما  توقعت +ها في  شباب +نا ال+ متخلف  اخلاقيا  و+ صوتيا  و+ بدنيا  اها  و+ عقليا  ب+ ال+ تاكيد,Negative
 فعلا  في  ال+ بدايه  كل +هم راءعون,Positive
 فعلا  مهزله,Negative
 فعلا  و+ الله  هو  ال+ قرار  و+ ال+ ثبات  علي +ه,Positive
 ف+ قد  عجزت  ال+ كلمات,Negative
 ف+ لما  ال+ حزن  ف+ لقد  اصبح  ال+ حزن  صديق +ي,Negative
 ف+ ما  اجمل  هذا  ال+ دين,Positive
 ف+ هم  ادري  و+ اخبر  لا  و+ بل  اكثر  انكارا  ل+ ال+ شيعه  و+ امثال +هم,Negative
 فوق  من  ال+ لي  انت  في +ه رب +ك دايما  جمبك  لو  ناديتو  هتلاقيه  جايز  ده  اختبار  ركز  ف+ ال+ اجابه  و+ قول  يارب  و+ خد  قرار,Positive
 في  ناس  كتير  رب +نا كرم +هم ب+ نعم +ه ال+ اسلام  و+ لكن +ها لا  تدرك  قيمه +ها,Positive
 في  ايه  يا  و+ ل+ اد  الوثخه  ?,Negative
 في  خطب +ه وحد +ه رفض  شيخ  اخوان +ي ال+ نووي  ال+ اردني  و  مدح  ال+ نووي  ال+ ايراني,Negative
 في  كل  مناحي  ال+ حياه  ال+ تكنولوجيا  بديل  عن  ال+ بشر  الا  في  ال+ تعليم  ال+ تكنولوجيا  تجعل  عمل  ال+ معلم  .  .  متع +ه لا  بديلا  عن +ه,Positive
 فيديو  بايخ,Negative
 فيروسات  بشري +ه,Negative
 قال  حكم  قال,Negative
 قرد  زاني  ابن  حرام  انقلع  قبح  الله  صوره +ك ياخنزير,Negative
 قرف  شوهاد  شي  ب+ خزي  عنجد,Negative
 قرف  يعيع,Negative
 قرف  يقرف  ال+ لبنانيين  شو  تافهين,Negative
 قرف  يقرف +ك,Negative
 قرفت  انتحر  عن  ال+ درج,Negative
 قريبا  ان  شاء  ل+ الله  تسمع  اخبار  تسر +كم,Positive
 قصد +ك اخر  ما  توصل  الي +ه ال+ عقل  ال+ بشري  من  تفاهات,Negative
 قص +ه جميل +ه تعلم  ال+ ناس  كمان  ال+ امانه  لان  اذا  اخذ  ال+ قليل  اخذا  ال+ كثير,Positive
 قص +ه جميل +ه جدا  تعكس  معني  ال+ ايمان  ال+ تمسك  ب+ ال+ عقيده  ال+ صحيحه  حسن  تعاليم +ها,Positive
 قص +ه جميل +ه مهم +ه جدا,Positive
 قص +ه جميل +ه ودايما  انا  ب+ حب  اسمع  ال+ برنامج,Positive
 قص +ه حقيقي +ه راءع +ه في +ها عبر +ه ل+ كل  زوج  و+ زوج +ه في +ها ال+ موده  و+ ال+ رحمه,Positive
 قص +ه راءعه  افاد +ك الله  من  ال+ علم  ل+ تفيد +نا داءما,Positive
 قص +ه راءعه  ياريت  كل  ال+ رجال  هيك,Positive
 قص +ه في  منتهي  ال+ روعه,Positive
 قص +ه في  غايه  ال+ روعه,Positive
 قل  ل +ي من  تصاحب  اقول  ل +ك من  انت,Positive
 قلت  ادب,Negative
 قلولهم  هذا  سوبر  ستار  مش  مسابق +ه ل+ بياع  ال+ خضار,Negative
 قم +ه ال+ بلاغه,Positive
 قم +ه ال+ تخلف  ال+ بشري  الله  يشفي +هم,Negative
 قم +ه ال+ تخلف  و+ ال+ انحطاط,Negative
 قهروا +ني حرام,Negative
 قول  يا  الله  ده  عن +ك مش  بعيد  متشلش  هم  و+ لا  تشعر  ب+ ضيق  اقول  يالله  اهديني  ياقلبي  عشان  اتوب  امحي  ال+ ذنوب  واهديلي  ال+ طريق,Positive
 قول  يا  رب  و+ خد  قرار,Positive
 قول  يارب  ادعي  كتير  ان +ك تكر +ه هذه  ال+ معصيه  و+ رب +نا كريم,Positive
 قولي  يارب  ثم  توكلي  علي +ه ان +ه نعم  ال+ مولي  نعم  ال+ وكيل  احتسبي  عند +ه ما  تظنين  ان +ك لا  تقدرين  علي +ه,Positive
 كارث +ه بشريه,Negative
 كافر  ملعون  جهنم  ب+ اذن  الله,Negative
 كاميرا  خفي +ه في  ال+ انحطاط  ال+ اخلاقي,Negative
" كان  خطي +ي ال+ وحيد  ,  اعطيت  من  لا  يستحق  اكثر  من  حق +ه",Negative
" كان  نفس +ي اكون  شخص  بارد  ,  يتقبل  اي  حاج +ه من  غير  ما  يتاثر  .",Negative
 كانت  ال+ حياه  صعب +ه و+ ال+ مدرسين  خشنين  و+ اغلب +هم من  ال+ اردن  و+ فلسطين  لكن +هم علموا +نا ال+ ادب  و+ ال+ علم  غفر  الله  ل+ اموات +هم,Positive
" كانت  ال+ عرب  في  ال+ جاهليه  ,  يصيب +ها ال+ تشاءم  ان  رات  رجل  او  امرا +ه لون  عيني +ه ازرق  و+ كانت  تعتقد  ان +هم شياطين  او  مس  شيطاني  اصاب +هم و+ هم  اجن +ه",Negative
 كانت  تسوي  مقلب  ان +ها محترم +ه بعدين  اعترفت  ان +ها,Negative
 كان +هم خرفان  ال+ عيد  عند  ال+ مسلخ,Negative
" كباب  كباب  و+ اخره +ها لحم  كلاب  تكرمون  ,  احذروا",Negative
 كتكوت  ضعيف  ال+ جناح  ال+ دنيا  غدرت  ها,Negative
 كتير  رخيص  و+ مقرف,Negative
 كثر  ال+ كلام  في  هذان  ال+ موضوعين  و+ لم  يتحقق  علي  ال+ واقع  شي  اصبح  ال+ مواطن  يتبع  سراب,Negative
 كثر  الله  من  امثال +ك زاد +ك الله  علم,Positive
 كدا  عيب  اود +ني راحت  في +ها,Negative
 كرامه +ي اولي,Positive
 كرامه +ي افضل  من  سعاده +ي,Positive
" كرهت  كلم +ه نازح  ,  لاجء  ,  ازم +ه ,  وضع  ,  تور +ه ,  تاريخ  ,  جغرافيا",Negative
 كس  اخت +ك,Negative
 كس  ام +كم يالعرب  يابهايم  يابقايا  حضارات  ال+ امم,Negative
 كسم  ال+ برامج  ال+ عربيه  متخلف +ه بنت  شرموط +ه,Negative
 كسم  ال+ عته  ال+ بشري,Negative
 كل  ال+ احترام,Positive
" ""  كل  ال+ بدايات  جميل +ه لكن  ال+ عبره  داءما  تكون  ب+ ال+ ختام  ,  اما  كسبت  او  تعلمت  درس  مستحيل  تنسا +ه .  """,Positive
 كل  ال+ نسخ  ال+ عربيه  والاجنبه  كل +ه تمثيل  في  تمثيل  مسخر +ه و+ عقول  تاقهه,Negative
 كل  سن +ه و+ انتم  طيبين,Positive
 كل  شخص  في +نا بيتمني  ال+ خشوع  في  صلات +ه يا  رب  يتقبل  صلات +نا صيام +نا,Positive
 كل  شء  في  حب  الله  تهون  و+ حب  رب +نا اقوي  بكتير  من  اي  حاج +ه,Positive
 كل  شء  مال +ه معني  بهالحياه  الا  ال+ فلوس  هي  ال+ حياه  و+ هي  من  تقرر  مصير  كل  شء  بهالدنيا  الا  شء  واحد  ال+ موت  لا  يتناغم  مع  ال+ فلوس,Positive
 كل  واحد  حرامي  ما  ب+ همو  مصلح +ه ال+ مسكين  ال+ مواطن  الي  بشتغل  14  ساعه  6  دنانير,Negative
 كل  يوم  اجتماعات  و+ مناقشات  و+ تحليلات  و+ مفاوضات  ب+ شان  سوريه  وكلو  حك +ي فاضي  وعلاك  مصدي  اذا  ما  في  ني +ه صادق +ه مخلص +ه من  كل  ال+ اطراف  لن  تنتهي  ماساه +نا,Negative
 كل  يوم  يصدم +نا ال+ اعلام  ب+ نتاءج  رقمي +ه مجهول +ه ال+ مصدر  و+ ال+ توثيق  و+ ال+ استقراء  حول  ال+ تعليم  في  ال+ اردن  ل+ تبرروا  تغير  ال+ مناهج  ال+ مخزي  لا  لن  تخدعوا +نا,Negative
 كلام  بليغ  اللهم  ارزقنا  ال+ زوج  ال+ صالح  من  يعرف  معني  رفقا  ب+ ال+ قوارير,Positive
 كلام  جميل,Positive
 كلام  جميل  ال+ كرامه  افضل  ابقي  ل+ ال+ انسان,Positive
 كلام  جي  في  وقت +ه,Positive
 كلام  حقيقي,Positive
 كلام  حلو  و+ مشجع,Positive
 كلام  ذهب,Positive
 كلام  راءع  و+ في  وقت +ه و+ رب +نا قادر  علي  كل  شء,Positive
 كلام  سليم,Positive
 كلام  سليم  الف  ب+ المي +ه الله,Positive
 كلام  سليم  و+ ال+ صراحه  راح +ه,Positive
 كلام  صحيح  من  شان  هيك  ال+ دول  ال+ لي  ما  في +ها بطال +ه و+ ال+ مجتمعات  ال+ مفتوحه  بتقل  في +ها ال+ مشاكل  ال+ نفسيه,Positive
 كلام  طيب,Positive
 كلام  ما  في  جدل,Positive
 كلام +ك جميل  و+ راءع,Positive
 كلام +ك يشعر +ني ب+ ال+ تفاءل  يمد +ني ب+ ال+ قوه  ال+ استمرار,Positive
 كلب  واطي,Negative
